login_attempts_last_5m,distinct_users_from_ip_last_5m,hour_of_day,day_of_week,is_attack
16,2,7,5,1
2,1,17,0,0
1,1,8,0,0
2,1,10,3,0
1,1,10,0,0
1,1,16,4,0
39,1,8,1,1
1,1,11,2,0
1,1,14,1,0
1,1,14,0,0
1,1,12,2,0
1,1,15,0,0
37,16,6,5,1
17,2,21,5,1
89,1,11,3,1
11,26,2,1,1
1,1,11,3,0
1,1,15,1,0
1,1,17,6,0
1,1,15,2,0
1,1,16,1,0
1,1,8,4,0
1,1,18,4,0
3,1,12,0,0
1,1,14,1,0
1,1,9,2,0
81,1,23,2,1
2,1,16,1,0
1,1,9,0,0
1,1,13,2,0
47,38,0,2,1
1,1,19,2,0
1,1,13,0,0
30,1,11,3,1
1,1,17,0,0
2,1,14,4,0
1,1,5,1,0
23,19,21,0,1
8,1,5,6,1
1,1,19,0,0
1,1,14,1,0
1,1,19,0,0
38,26,2,3,1
1,1,12,5,0
40,26,23,3,1
1,1,16,0,0
9,2,5,5,1
1,1,8,2,0
1,1,7,4,0
2,1,17,0,0
2,1,14,5,0
1,1,19,5,0
1,1,13,5,0
1,1,15,2,0
1,1,14,0,0
1,1,10,0,0
1,1,18,2,0
1,1,10,4,0
1,1,12,1,0
44,31,7,6,1
1,1,14,3,0
1,1,12,3,0
1,1,14,4,0
90,2,8,6,1
1,1,10,2,0
1,1,16,1,0
35,41,7,3,1
1,1,9,6,0
2,1,11,6,0
1,1,18,6,0
2,1,13,2,0
1,1,22,0,0
1,1,15,1,0
1,1,8,0,0
2,1,11,4,0
1,1,19,6,0
19,5,20,5,1
1,1,15,4,0
41,19,4,6,1
39,26,0,2,1
1,1,17,2,0
2,1,14,0,0
2,1,4,0,0
14,11,2,4,1
14,4,5,6,1
1,1,15,3,0
1,1,16,1,0
1,1,12,1,0
1,1,14,1,0
2,1,12,4,0
1,1,0,1,0
8,1,2,5,1
1,1,16,0,0
3,1,20,0,0
39,25,1,6,1
1,1,16,0,0
1,1,8,1,0
1,1,1,1,0
1,1,10,3,0
1,1,16,0,0
1,1,1,4,0
1,1,10,3,0
1,1,3,4,0
1,1,11,0,0
1,1,11,6,0
1,1,8,1,0
1,1,13,0,0
1,1,12,2,0
53,1,17,4,1
1,1,12,1,0
1,1,11,2,0
1,1,8,3,0
1,1,17,2,0
1,1,17,2,0
1,1,15,0,0
16,1,7,6,1
9,2,1,6,1
1,1,9,2,0
1,1,11,2,0
1,1,17,4,0
2,1,19,1,0
1,1,5,3,0
1,1,13,1,0
1,1,19,1,0
2,1,0,1,0
1,1,17,4,0
85,1,7,4,1
1,1,4,1,0
1,1,14,3,0
2,1,6,4,0
36,37,6,2,1
1,1,14,4,0
1,1,15,2,0
1,1,16,4,0
1,1,17,2,0
2,1,14,5,0
48,37,22,4,1
1,1,18,4,0
1,1,18,2,0
1,1,12,0,0
1,1,17,1,0
1,1,15,4,0
16,3,0,6,1
2,1,15,3,0
1,1,8,4,0
49,1,14,4,1
1,1,12,0,0
1,1,13,4,0
1,1,15,3,0
1,1,16,2,0
1,1,21,3,0
1,1,20,5,0
2,1,18,4,0
1,1,11,6,0
1,1,17,2,0
69,2,18,0,1
1,1,15,2,0
2,1,13,2,0
2,1,18,1,0
3,1,6,5,0
2,1,9,3,0
35,20,22,1,1
37,1,15,1,1
1,1,18,3,0
1,1,17,6,0
1,1,16,3,0
3,1,8,4,0
17,38,7,2,1
1,1,13,4,0
1,1,14,1,0
1,1,10,0,0
74,1,8,3,1
1,1,15,2,0
8,4,6,6,1
2,1,18,2,0
1,1,13,3,0
27,12,22,0,1
1,1,13,2,0
20,2,2,5,1
10,4,4,6,1
1,1,18,4,0
2,1,12,0,0
1,1,17,4,0
1,1,8,2,0
1,1,19,1,0
1,1,9,4,0
1,1,15,3,0
2,1,13,3,0
1,1,14,0,0
1,1,17,0,0
21,21,3,2,1
1,1,18,1,0
1,1,19,1,0
1,1,18,1,0
1,1,10,5,0
1,1,12,2,0
2,1,10,1,0
1,1,23,0,0
1,1,16,3,0
1,1,9,3,0
43,33,23,0,1
1,1,19,4,0
21,1,0,4,1
2,1,16,4,0
2,1,3,1,0
1,1,0,2,0
1,1,0,5,0
42,18,20,4,1
2,1,21,0,0
1,1,17,5,0
1,1,9,1,0
6,1,22,5,1
40,39,4,1,1
1,1,7,3,0
2,1,10,3,0
1,1,19,3,0
1,1,9,1,0
1,1,19,1,0
71,2,7,2,1
1,1,17,3,0
26,37,7,4,1
1,1,17,0,0
1,1,15,6,0
1,1,13,2,0
1,1,15,0,0
1,1,19,2,0
1,1,9,4,0
29,1,15,6,1
1,1,19,2,0
2,1,12,4,0
1,1,19,1,0
1,1,12,0,0
1,1,10,2,0
1,1,18,4,0
1,1,17,1,0
12,4,4,5,1
3,1,19,4,0
1,1,15,2,0
49,49,7,5,1
2,1,10,2,0
1,1,3,0,0
1,1,12,4,0
1,1,9,1,0
1,1,14,0,0
1,1,10,4,0
1,1,10,2,0
3,1,17,1,0
86,1,1,2,1
57,1,11,3,1
1,1,8,3,0
1,1,15,2,0
88,1,20,0,1
1,1,8,4,0
44,16,3,1,1
1,1,8,4,0
15,3,22,5,1
1,1,11,4,0
1,1,8,6,0
1,1,11,4,0
2,1,14,3,0
1,1,14,3,0
1,1,13,4,0
1,1,10,5,0
2,1,10,1,0
1,1,13,1,0
20,1,20,6,1
75,1,12,0,1
2,1,0,3,0
14,32,7,6,1
1,1,3,4,0
1,1,6,4,0
10,3,4,6,1
1,1,16,2,0
2,1,11,4,0
1,1,18,0,0
2,1,16,0,0
2,1,16,0,0
1,1,3,2,0
11,1,20,5,1
1,1,8,4,0
2,1,15,2,0
1,1,9,0,0
2,1,6,2,0
1,1,18,5,0
1,1,3,4,0
1,1,19,0,0
1,1,15,0,0
1,1,18,1,0
1,1,9,6,0
1,1,13,3,0
3,1,17,6,0
27,41,20,6,1
46,23,2,2,1
3,1,18,0,0
1,1,15,0,0
1,1,9,4,0
49,26,5,0,1
3,1,13,1,0
2,1,18,1,0
10,4,23,6,1
2,1,10,6,0
1,1,16,1,0
7,5,22,5,1
1,1,14,0,0
21,1,20,3,1
1,1,12,2,0
1,1,6,2,0
1,1,2,3,0
1,1,16,2,0
1,1,16,2,0
95,1,19,3,1
1,1,12,4,0
2,1,11,2,0
2,1,13,4,0
1,1,14,0,0
1,1,19,1,0
1,1,8,6,0
1,1,1,4,0
2,1,20,0,0
1,1,15,2,0
39,1,1,1,1
1,1,18,0,0
1,1,10,3,0
1,1,9,2,0
2,1,15,0,0
1,1,19,2,0
1,1,16,3,0
95,1,9,2,1
1,1,17,4,0
3,1,18,0,0
1,1,13,0,0
1,1,11,4,0
1,1,16,2,0
1,1,19,4,0
1,1,12,1,0
2,1,12,0,0
6,1,5,6,1
1,1,17,0,0
1,1,17,3,0
2,1,18,4,0
2,1,20,1,0
2,1,10,4,0
20,20,22,2,1
13,3,6,5,1
1,1,10,0,0
1,1,23,1,0
1,1,10,0,0
1,1,19,5,0
6,3,22,5,1
1,1,1,4,0
1,1,10,1,0
3,1,18,5,0
11,3,3,5,1
1,1,14,1,0
20,38,3,3,1
1,1,15,0,0
22,32,20,5,1
1,1,19,4,0
1,1,13,5,0
1,1,9,0,0
2,1,11,1,0
1,1,10,2,0
1,1,8,2,0
1,1,18,3,0
67,1,3,3,1
5,4,3,5,1
17,2,23,5,1
43,33,22,3,1
20,35,5,1,1
13,5,1,5,1
1,1,15,0,0
2,1,10,0,0
1,1,18,1,0
2,1,8,2,0
12,43,23,6,1
1,1,14,1,0
2,1,9,2,0
63,1,3,6,1
1,1,18,2,0
1,1,6,1,0
1,1,14,3,0
1,1,18,0,0
2,1,10,1,0
1,1,16,4,0
56,1,2,4,1
3,1,22,4,0
2,1,13,2,0
1,1,21,6,0
1,1,13,5,0
1,1,10,3,0
1,1,12,2,0
1,1,11,4,0
1,1,9,2,0
39,47,3,3,1
3,1,12,2,0
36,41,0,5,1
1,1,12,6,0
1,1,16,6,0
3,1,12,0,0
9,5,1,6,1
3,1,18,0,0
1,1,14,3,0
1,1,12,3,0
15,1,20,0,1
16,11,22,5,1
1,1,16,1,0
1,1,14,0,0
1,1,8,4,0
1,1,19,0,0
1,1,0,4,0
91,1,23,1,1
2,1,19,0,0
1,1,16,5,0
1,1,18,5,0
1,1,9,4,0
2,1,11,1,0
1,1,10,5,0
1,1,10,1,0
5,2,23,6,1
1,1,19,6,0
1,1,18,2,0
16,1,13,3,1
1,1,17,2,0
1,1,16,3,0
1,1,16,3,0
1,1,10,3,0
1,1,13,1,0
1,1,9,2,0
1,1,15,4,0
37,37,7,2,1
1,1,9,3,0
17,1,1,6,1
8,3,4,6,1
1,1,11,0,0
44,1,16,1,1
1,1,10,0,0
1,1,8,1,0
6,3,1,5,1
1,1,10,0,0
2,1,12,0,0
2,1,14,0,0
2,1,18,1,0
1,1,8,3,0
1,1,17,2,0
1,1,17,1,0
1,1,17,1,0
1,1,12,2,0
2,1,18,3,0
1,1,12,3,0
1,1,11,1,0
14,4,21,6,1
1,1,4,1,0
2,1,18,0,0
2,1,9,0,0
1,1,9,6,0
1,1,18,1,0
1,1,10,0,0
19,3,22,6,1
2,1,13,1,0
1,1,13,3,0
1,1,17,2,0
1,1,17,0,0
1,1,2,0,0
1,1,10,1,0
2,1,21,1,0
2,1,15,3,0
1,1,17,0,0
71,1,12,6,1
3,1,16,1,0
1,1,12,4,0
14,45,6,0,1
1,1,15,6,0
2,1,14,0,0
2,1,9,6,0
2,1,11,6,0
26,24,7,2,1
2,1,17,4,0
8,5,23,5,1
1,1,15,4,0
1,1,19,2,0
2,1,15,1,0
1,1,16,3,0
1,1,18,4,0
3,1,11,0,0
1,1,18,4,0
1,1,4,3,0
1,1,11,3,0
30,46,1,0,1
1,1,19,2,0
1,1,11,0,0
3,1,17,2,0
1,1,18,0,0
1,1,8,0,0
1,1,21,2,0
3,1,19,0,0
40,16,2,1,1
2,1,16,3,0
3,1,3,1,0
1,1,19,1,0
1,1,18,5,0
1,1,13,2,0
1,1,21,6,0
1,1,14,0,0
1,1,13,4,0
24,1,17,5,1
1,1,13,4,0
1,1,18,2,0
1,1,9,0,0
56,1,22,5,1
3,1,14,1,0
3,1,10,1,0
2,1,9,3,0
1,1,11,0,0
18,3,7,6,1
1,1,9,4,0
1,1,12,0,0
1,1,14,0,0
89,1,13,2,1
1,1,15,0,0
1,1,8,3,0
1,1,11,1,0
2,1,17,4,0
1,1,9,3,0
1,1,9,4,0
24,47,1,1,1
2,1,11,1,0
1,1,11,4,0
1,1,8,3,0
1,1,8,1,0
1,1,12,3,0
2,1,18,0,0
1,1,17,4,0
46,1,22,5,1
14,4,20,5,1
1,1,10,5,0
2,1,16,2,0
1,1,10,1,0
1,1,22,6,0
1,1,12,4,0
1,1,8,4,0
1,1,13,0,0
1,1,22,3,0
12,5,2,6,1
1,1,12,4,0
60,1,9,2,1
1,1,15,0,0
1,1,4,3,0
2,1,17,1,0
1,1,9,4,0
1,1,10,0,0
1,1,18,2,0
3,1,17,2,0
26,40,0,5,1
1,1,10,2,0
2,1,16,3,0
1,1,7,0,0
1,1,8,3,0
1,1,18,2,0
18,30,2,1,1
1,1,15,0,0
1,1,19,1,0
2,1,12,3,0
3,1,13,2,0
1,1,7,0,0
2,1,18,1,0
1,1,23,0,0
1,1,19,0,0
1,1,19,4,0
1,1,16,3,0
2,1,18,0,0
1,1,14,1,0
2,1,14,2,0
1,1,11,1,0
1,1,14,0,0
1,1,15,2,0
1,1,15,6,0
93,1,12,1,1
1,1,17,3,0
1,1,17,2,0
1,1,10,3,0
1,1,6,2,0
1,1,17,0,0
1,1,15,1,0
5,4,20,6,1
1,1,0,1,0
1,1,19,3,0
1,1,15,4,0
6,5,23,5,1
1,1,16,4,0
16,1,5,5,1
1,1,10,3,0
1,1,10,3,0
2,1,8,0,0
1,1,15,0,0
18,49,20,6,1
1,1,9,0,0
1,1,13,2,0
1,1,9,0,0
2,1,5,0,0
1,1,10,3,0
1,1,15,4,0
8,5,1,5,1
2,1,12,1,0
1,1,11,0,0
1,1,10,3,0
35,16,21,5,1
2,1,17,1,0
1,1,19,4,0
1,1,15,6,0
1,1,16,4,0
1,1,10,0,0
1,1,22,0,0
1,1,19,1,0
1,1,9,1,0
3,1,8,0,0
1,1,10,0,0
2,1,16,4,0
1,1,18,0,0
2,1,14,2,0
1,1,23,4,0
2,1,1,4,0
54,1,13,0,1
1,1,12,3,0
1,1,16,0,0
1,1,11,0,0
2,1,1,2,0
1,1,17,0,0
1,1,13,1,0
1,1,15,2,0
2,1,9,1,0
1,1,16,1,0
1,1,15,2,0
20,25,21,1,1
1,1,16,0,0
33,1,8,2,1
1,1,11,4,0
1,1,12,6,0
1,1,12,0,0
1,1,10,5,0
22,17,6,2,1
1,1,13,1,0
1,1,17,1,0
1,1,11,0,0
1,1,12,4,0
1,1,2,6,0
71,1,19,0,1
1,1,1,4,0
1,1,12,0,0
2,1,19,6,0
1,1,16,1,0
2,1,12,3,0
1,1,9,3,0
1,1,16,0,0
42,12,6,3,1
1,1,9,1,0
1,1,15,2,0
1,1,17,0,0
1,1,15,1,0
7,3,22,5,1
20,28,1,6,1
1,1,14,4,0
14,34,22,3,1
1,1,14,0,0
1,1,16,6,0
12,2,20,6,1
1,1,14,1,0
2,1,13,0,0
1,1,19,4,0
1,1,15,1,0
1,1,8,1,0
1,1,9,3,0
74,1,12,4,1
1,1,16,2,0
1,1,8,1,0
1,1,15,5,0
2,1,11,1,0
1,1,9,1,0
59,1,2,4,1
1,1,19,1,0
30,41,1,5,1
1,1,15,4,0
1,1,14,2,0
1,1,12,0,0
3,1,13,1,0
1,1,19,1,0
1,1,14,3,0
1,1,10,0,0
1,1,11,0,0
1,1,9,4,0
1,1,9,0,0
2,1,9,1,0
1,1,11,1,0
1,1,18,6,0
31,24,5,4,1
1,1,22,2,0
2,1,6,0,0
63,1,13,1,1
1,1,19,4,0
1,1,16,2,0
1,1,8,0,0
1,1,19,3,0
1,1,14,0,0
91,2,16,0,1
19,4,2,6,1
1,1,17,2,0
20,4,23,6,1
2,1,17,1,0
1,1,14,1,0
1,1,14,4,0
1,1,14,3,0
20,5,21,5,1
3,1,1,4,0
50,47,2,3,1
38,17,6,0,1
1,1,12,1,0
1,1,16,2,0
2,1,10,2,0
1,1,18,6,0
1,1,9,0,0
18,1,2,6,1
1,1,15,3,0
1,1,15,2,0
1,1,8,4,0
24,29,7,2,1
1,1,9,2,0
1,1,12,2,0
99,1,7,0,1
64,1,8,6,1
1,1,19,1,0
87,1,6,4,1
1,1,15,1,0
1,1,9,2,0
1,1,16,4,0
2,1,15,4,0
1,1,16,4,0
2,1,16,0,0
1,1,15,1,0
1,1,16,2,0
1,1,22,2,0
1,1,10,5,0
1,1,19,0,0
1,1,11,5,0
1,1,15,1,0
1,1,6,4,0
1,1,19,5,0
1,1,5,1,0
2,1,13,3,0
61,1,0,5,1
2,1,8,4,0
2,1,13,0,0
1,1,11,5,0
1,1,14,1,0
1,1,4,0,0
2,1,14,4,0
2,1,17,3,0
1,1,17,0,0
1,1,15,0,0
1,1,0,3,0
1,1,19,2,0
1,1,13,3,0
30,1,5,1,1
1,1,16,2,0
1,1,12,2,0
1,1,15,2,0
1,1,17,2,0
1,1,15,1,0
1,1,17,0,0
2,1,12,4,0
11,1,0,6,1
1,1,13,2,0
1,1,11,4,0
1,1,16,0,0
1,1,17,6,0
1,1,16,0,0
2,1,18,3,0
3,1,10,2,0
1,1,15,0,0
2,1,18,0,0
1,1,13,4,0
1,1,18,5,0
1,1,2,2,0
87,2,18,0,1
1,1,14,3,0
36,44,1,4,1
61,1,21,0,1
3,1,7,6,0
1,1,18,0,0
1,1,15,1,0
1,1,8,4,0
2,1,19,3,0
1,1,15,1,0
1,1,16,4,0
32,23,21,1,1
1,1,10,1,0
1,1,18,0,0
1,1,14,3,0
1,1,9,3,0
37,17,20,4,1
1,1,19,4,0
1,1,9,4,0
1,1,9,3,0
19,50,3,5,1
3,1,12,1,0
1,1,7,0,0
49,1,14,6,1
1,1,18,2,0
1,1,8,1,0
1,1,19,2,0
1,1,17,4,0
1,1,15,3,0
1,1,11,0,0
1,1,10,2,0
1,1,11,3,0
16,4,7,5,1
51,1,9,0,1
12,20,3,2,1
1,1,18,0,0
1,1,9,2,0
42,1,5,6,1
3,1,8,4,0
1,1,12,2,0
3,1,18,3,0
1,1,14,0,0
1,1,19,1,0
1,1,10,2,0
1,1,12,3,0
1,1,18,0,0
1,1,11,0,0
2,1,18,4,0
1,1,18,1,0
1,1,14,1,0
1,1,15,0,0
1,1,22,6,0
1,1,11,0,0
100,1,11,3,1
1,1,12,3,0
1,1,8,3,0
1,1,13,4,0
1,1,18,2,0
1,1,12,3,0
19,25,6,0,1
1,1,8,1,0
1,1,11,4,0
1,1,19,0,0
1,1,18,3,0
20,5,20,5,1
1,1,19,2,0
1,1,21,2,0
1,1,18,1,0
1,1,5,0,0
1,1,10,2,0
1,1,11,4,0
1,1,10,3,0
1,1,19,3,0
2,1,18,4,0
2,1,12,4,0
1,1,14,6,0
16,5,22,5,1
1,1,19,4,0
1,1,14,3,0
2,1,8,0,0
1,1,9,3,0
1,1,15,4,0
1,1,17,4,0
1,1,19,3,0
1,1,10,3,0
1,1,18,0,0
58,1,20,0,1
1,1,10,4,0
1,1,14,3,0
1,1,14,1,0
1,1,13,0,0
2,1,18,2,0
1,1,13,1,0
33,37,5,1,1
21,23,5,2,1
3,1,17,2,0
2,1,13,4,0
1,1,9,3,0
44,27,3,2,1
1,1,11,0,0
1,1,8,4,0
1,1,6,6,0
1,1,12,6,0
1,1,0,0,0
1,1,11,4,0
1,1,5,0,0
1,1,17,4,0
2,1,22,3,0
1,1,11,4,0
1,1,14,3,0
19,5,21,5,1
3,1,8,4,0
2,1,12,4,0
1,1,10,1,0
1,1,11,1,0
46,1,8,3,1
2,1,11,5,0
1,1,17,2,0
1,1,16,0,0
1,1,15,1,0
1,1,0,2,0
1,1,13,2,0
1,1,17,6,0
16,2,2,6,1
1,1,9,6,0
1,1,19,1,0
1,1,11,4,0
2,1,19,3,0
2,1,15,3,0
1,1,13,3,0
1,1,14,2,0
34,18,22,3,1
1,1,16,4,0
1,1,15,1,0
1,1,4,1,0
1,1,13,2,0
1,1,9,1,0
20,1,23,5,1
1,1,14,1,0
1,1,19,4,0
1,1,7,5,0
1,1,21,3,0
1,1,18,2,0
27,20,0,2,1
1,1,2,2,0
1,1,15,4,0
2,1,15,0,0
33,1,4,4,1
52,1,21,5,1
1,1,13,1,0
72,1,15,3,1
2,1,18,0,0
29,1,1,0,1
2,1,23,2,0
1,1,10,1,0
1,1,10,1,0
2,1,18,3,0
1,1,4,2,0
3,1,2,5,0
1,1,16,4,0
1,1,15,2,0
3,1,11,0,0
1,1,12,3,0
1,1,15,4,0
6,1,6,5,1
1,1,16,2,0
1,1,12,4,0
1,1,9,1,0
1,1,10,0,0
1,1,18,3,0
2,1,14,6,0
1,1,21,2,0
46,34,5,0,1
1,1,14,1,0
3,1,18,0,0
1,1,9,3,0
11,32,20,2,1
1,1,4,4,0
1,1,12,0,0
1,1,15,3,0
1,1,21,2,0
1,1,4,0,0
1,1,10,0,0
1,1,12,1,0
1,1,17,4,0
1,1,2,1,0
1,1,18,1,0
2,1,10,2,0
1,1,3,4,0
1,1,19,5,0
47,24,3,5,1
65,1,21,4,1
1,1,11,2,0
1,1,16,1,0
15,1,22,5,1
1,1,2,3,0
1,1,19,5,0
1,1,8,5,0
1,1,18,2,0
1,1,8,1,0
1,1,11,1,0
1,1,18,2,0
1,1,13,3,0
3,1,15,2,0
1,1,8,0,0
5,2,1,6,1
2,1,8,6,0
1,1,12,1,0
2,1,8,1,0
2,1,19,2,0
1,1,11,2,0
1,1,19,0,0
83,1,12,3,1
1,1,13,5,0
2,1,10,0,0
11,2,0,6,1
2,1,10,1,0
1,1,16,4,0
2,1,16,2,0
1,1,16,5,0
1,1,12,2,0
1,1,12,0,0
1,1,0,2,0
1,1,10,0,0
1,1,9,2,0
62,1,13,6,1
2,1,19,0,0
18,24,1,0,1
2,1,19,2,0
1,1,8,1,0
3,1,9,0,0
1,1,9,3,0
1,1,9,5,0
2,1,15,2,0
1,1,9,1,0
2,1,15,5,0
1,1,7,0,0
1,1,10,2,0
2,1,9,0,0
15,14,21,3,1
1,1,8,2,0
1,1,13,1,0
35,38,23,2,1
1,1,10,2,0
2,1,9,4,0
1,1,10,0,0
1,1,16,1,0
20,5,1,6,1
1,1,14,2,0
1,1,10,5,0
14,2,6,5,1
2,1,7,4,0
1,1,11,3,0
1,1,15,3,0
1,1,14,6,0
1,1,14,0,0
1,1,20,3,0
2,1,18,0,0
14,2,6,5,1
1,1,3,4,0
1,1,10,1,0
1,1,16,0,0
1,1,18,0,0
1,1,14,3,0
2,1,16,1,0
1,1,11,4,0
1,1,16,4,0
1,1,11,6,0
3,1,18,3,0
1,1,19,1,0
1,1,17,4,0
3,1,14,1,0
14,2,20,6,1
1,1,11,1,0
1,1,10,0,0
2,1,14,4,0
1,1,10,0,0
1,1,18,0,0
1,1,0,2,0
1,1,21,5,0
2,1,19,4,0
2,1,13,0,0
1,1,12,4,0
1,1,16,1,0
1,1,8,3,0
1,1,16,0,0
18,1,22,6,1
3,1,11,1,0
2,1,13,3,0
1,1,7,0,0
15,49,21,1,1
36,44,23,6,1
1,1,18,3,0
1,1,9,0,0
1,1,17,3,0
1,1,3,3,0
3,1,9,2,0
1,1,15,0,0
15,46,5,0,1
1,1,20,2,0
1,1,17,2,0
22,29,22,1,1
1,1,21,6,0
1,1,10,3,0
1,1,15,1,0
1,1,10,1,0
2,1,8,4,0
1,1,13,6,0
1,1,10,0,0
2,1,16,3,0
1,1,16,3,0
2,1,15,4,0
2,1,4,0,0
62,2,8,2,1
1,1,9,2,0
67,1,6,4,1
72,1,11,0,1
20,3,2,5,1
2,1,9,5,0
1,1,14,0,0
1,1,17,5,0
1,1,11,3,0
1,1,8,2,0
2,1,11,3,0
22,20,20,5,1
1,1,9,2,0
38,37,7,4,1
1,1,12,0,0
2,1,18,1,0
2,1,18,0,0
1,1,20,1,0
2,1,8,6,0
1,1,11,2,0
1,1,14,4,0
1,1,17,1,0
17,26,21,5,1
21,2,8,4,1
1,1,14,3,0
2,1,18,1,0
1,1,10,4,0
1,1,1,1,0
12,32,3,2,1
1,1,14,2,0
43,50,7,2,1
28,14,1,1,1
1,1,15,0,0
1,1,20,2,0
43,48,6,0,1
1,1,15,1,0
2,1,9,3,0
1,1,12,4,0
18,1,21,5,1
1,1,10,3,0
1,1,15,1,0
86,1,21,3,1
1,1,15,2,0
2,1,19,5,0
10,3,22,6,1
3,1,5,0,0
2,1,8,3,0
1,1,11,2,0
9,3,1,5,1
1,1,10,4,0
1,1,13,4,0
1,1,11,2,0
3,1,14,5,0
1,1,4,3,0
1,1,18,4,0
28,35,23,2,1
1,1,22,0,0
1,1,3,5,0
1,1,10,3,0
1,1,8,2,0
1,1,18,2,0
1,1,19,1,0
1,1,8,4,0
1,1,17,4,0
1,1,11,2,0
1,1,16,1,0
1,1,8,2,0
1,1,5,5,0
1,1,10,2,0
1,1,15,3,0
49,45,2,1,1
2,1,0,0,0
1,1,8,1,0
2,1,3,4,0
1,1,11,4,0
1,1,12,0,0
35,1,4,5,1
1,1,16,2,0
20,1,20,6,1
1,1,14,4,0
1,1,5,0,0
1,1,16,3,0
20,2,15,3,1
1,1,16,3,0
1,1,14,3,0
24,1,16,2,1
13,5,1,6,1
8,5,1,6,1
1,1,8,3,0
2,1,11,3,0
2,1,10,4,0
8,3,7,5,1
79,1,22,3,1
1,1,0,5,0
2,1,9,0,0
7,5,3,6,1
1,1,11,3,0
2,1,8,0,0
1,1,12,3,0
2,1,10,3,0
1,1,13,3,0
43,12,20,3,1
12,4,5,5,1
1,1,17,2,0
1,1,16,0,0
1,1,2,0,0
1,1,14,6,0
1,1,16,3,0
1,1,17,4,0
2,1,17,1,0
1,1,11,3,0
13,3,1,6,1
1,1,14,4,0
1,1,14,4,0
1,1,3,2,0
1,1,14,0,0
1,1,16,2,0
1,1,13,5,0
1,1,16,3,0
1,1,14,3,0
1,1,13,5,0
1,1,16,2,0
1,1,18,2,0
1,1,10,3,0
1,1,12,1,0
1,1,9,0,0
21,1,15,4,1
2,1,10,0,0
16,4,21,6,1
1,1,8,1,0
15,2,7,5,1
7,3,3,6,1
1,1,19,0,0
1,1,18,5,0
1,1,19,1,0
1,1,14,3,0
1,1,17,3,0
1,1,16,0,0
1,1,8,1,0
1,1,14,1,0
1,1,12,5,0
1,1,15,4,0
3,1,19,0,0
1,1,11,2,0
97,1,15,4,1
1,1,8,2,0
5,1,23,5,1
1,1,11,3,0
17,3,4,6,1
2,1,15,4,0
29,18,0,2,1
1,1,22,2,0
2,1,11,4,0
2,1,11,4,0
78,1,3,0,1
1,1,13,1,0
2,1,18,1,0
1,1,19,2,0
1,1,6,3,0
1,1,16,2,0
44,13,0,1,1
18,3,2,6,1
59,1,12,2,1
1,1,6,2,0
1,1,17,5,0
1,1,15,4,0
1,1,11,6,0
1,1,8,4,0
1,1,13,3,0
3,1,15,4,0
1,1,18,1,0
89,1,17,3,1
3,1,13,3,0
2,1,9,4,0
1,1,10,1,0
17,5,0,5,1
1,1,19,2,0
39,42,0,6,1
1,1,11,0,0
1,1,8,1,0
1,1,17,5,0
3,1,9,1,0
2,1,16,1,0
1,1,16,4,0
3,1,9,4,0
1,1,14,1,0
1,1,9,4,0
1,1,19,6,0
2,1,19,6,0
1,1,19,1,0
23,27,20,3,1
1,1,16,6,0
1,1,10,1,0
1,1,10,5,0
1,1,11,3,0
1,1,9,3,0
3,1,11,5,0
1,1,18,3,0
1,1,1,1,0
2,1,22,3,0
1,1,16,3,0
7,4,7,5,1
1,1,11,4,0
3,1,12,0,0
1,1,18,0,0
1,1,17,3,0
1,1,17,1,0
1,1,9,1,0
1,1,0,3,0
1,1,2,0,0
6,1,3,6,1
1,1,17,0,0
72,1,0,6,1
1,1,12,0,0
2,1,4,1,0
1,1,21,2,0
87,1,4,4,1
45,16,3,0,1
50,36,1,5,1
1,1,14,0,0
3,1,16,1,0
1,1,12,1,0
1,1,10,1,0
1,1,7,1,0
7,4,23,5,1
2,1,17,3,0
7,2,6,6,1
1,1,13,3,0
2,1,17,1,0
13,37,1,1,1
1,1,7,4,0
20,3,3,5,1
15,2,6,6,1
2,1,13,3,0
1,1,14,5,0
1,1,12,2,0
1,1,13,1,0
2,1,16,1,0
2,1,17,1,0
1,1,10,2,0
3,1,9,4,0
1,1,9,2,0
1,1,13,2,0
14,1,4,6,1
1,1,17,4,0
1,1,13,6,0
2,1,13,2,0
1,1,12,2,0
1,1,14,2,0
2,1,10,2,0
19,3,2,5,1
2,1,12,3,0
12,22,21,6,1
2,1,9,3,0
1,1,15,2,0
1,1,17,1,0
1,1,17,2,0
1,1,11,3,0
2,1,12,3,0
1,1,18,4,0
5,3,3,6,1
13,40,2,6,1
1,1,8,1,0
1,1,19,3,0
2,1,21,2,0
1,1,21,0,0
2,1,15,0,0
1,1,18,3,0
1,1,11,2,0
1,1,16,2,0
72,1,9,1,1
1,1,16,2,0
2,1,16,2,0
1,1,19,6,0
1,1,14,4,0
1,1,17,4,0
41,43,2,0,1
2,1,13,1,0
1,1,16,2,0
2,1,1,4,0
1,1,12,4,0
1,1,18,1,0
2,1,14,5,0
1,1,18,2,0
1,1,18,4,0
57,1,20,3,1
1,1,15,2,0
30,32,6,1,1
1,1,10,1,0
63,1,23,1,1
10,14,23,0,1
2,1,13,2,0
1,1,3,1,0
1,1,18,5,0
40,1,12,5,1
2,1,16,6,0
1,1,16,0,0
2,1,18,1,0
1,1,10,3,0
1,1,12,1,0
2,1,10,1,0
